ts_event,symbol,ofi_00,ofi_01,ofi_02,ofi_03,ofi_04,ofi_05,ofi_06,ofi_07,ofi_08,ofi_09,ofi_best,ofi_multi_sum,ofi_integrated,cross_asset_ofi
2024-10-21 11:54:00+00:00,AAPL,-195,600,10,-30,25,400,44,155,400,1,-195,1410,135.58945131562047,0.0
2024-10-21 11:55:00+00:00,AAPL,-1115,781,1370,27,11,-84,-10,-110,-100,-55,-1115,715,138.62430838883662,0.0
2024-10-21 11:56:00+00:00,AAPL,199,0,1200,0,0,0,0,1,0,0,199,1400,125.95694238549616,0.0
2024-10-21 11:57:00+00:00,AAPL,500,592,50,4,-840,-118,-234,-88,-454,-346,500,-934,-152.2958538712038,0.0
2024-10-21 11:58:00+00:00,AAPL,477,880,572,432,226,-412,256,88,544,291,477,3354,278.0674125306568,0.0
2024-10-21 11:59:00+00:00,AAPL,350,1372,401,-1972,173,44,154,400,1,600,350,1523,-142.6330327931979,0.0
2024-10-21 12:00:00+00:00,AAPL,349,-678,-40,604,-125,-120,-120,-210,-155,-56,349,-551,2.931919977067068,0.0
2024-10-21 12:01:00+00:00,AAPL,-399,350,1501,960,-19,132,76,-180,264,-444,-399,2241,356.7172305707982,0.0
2024-10-21 12:02:00+00:00,AAPL,-1001,-350,389,31,185,16,44,390,-109,500,-1001,95,100.11314529370486,0.0
2024-10-21 12:03:00+00:00,AAPL,-599,500,610,810,14,43,110,10,110,100,-599,1708,283.7117254906101,0.0
2024-10-21 12:04:00+00:00,AAPL,0,218,132,-405,-191,-44,-154,-400,-51,-601,0,-1496,-188.53376364830672,0.0
2024-10-21 12:05:00+00:00,AAPL,1209,189,901,1509,826,871,529,450,601,56,1209,7141,804.7496305796002,0.0
2024-10-21 12:06:00+00:00,AAPL,228,-384,372,524,401,51,650,605,68,64,228,2579,323.9634739093443,0.0
2024-10-21 12:07:00+00:00,AAPL,407,1458,1229,-29,104,-41,-635,-495,-58,46,407,1986,102.46268389851737,0.0
2024-10-21 12:08:00+00:00,AAPL,993,385,743,-227,223,621,-645,667,-436,2054,993,4378,294.44203448453493,0.0
2024-10-21 12:09:00+00:00,AAPL,211,-20,483,1255,1151,-94,410,-38,124,-1865,211,1617,349.4018596215336,0.0
2024-10-21 12:10:00+00:00,AAPL,0,-839,1175,545,-550,704,-337,54,1901,1987,0,4640,450.81089796037315,0.0
2024-10-21 12:11:00+00:00,AAPL,-1,2800,1171,0,0,0,0,0,0,0,-1,3970,296.49858203033426,0.0
2024-10-21 12:12:00+00:00,AAPL,-168,508,744,-1198,-28,-478,-10,-100,-15,-110,-168,-855,-230.45921543807773,0.0
2024-10-21 12:13:00+00:00,AAPL,1779,-528,-1024,399,-400,53,-99,1985,-108,203,1779,2260,137.78432969220927,0.0
2024-10-21 12:14:00+00:00,AAPL,-22,1655,1199,1201,506,515,110,115,125,120,-22,5524,643.8293787946523,0.0
2024-10-21 12:15:00+00:00,AAPL,-759,-1013,-1357,-1223,494,-463,52,-2099,1983,-321,-759,-4706,-566.9412553242107,0.0
2024-10-21 12:16:00+00:00,AAPL,-659,-400,-1204,-31,-600,-705,-168,-64,-2001,-2002,-659,-7834,-640.5902405889041,0.0
2024-10-21 12:17:00+00:00,AAPL,-695,-2421,-209,-300,71,0,0,0,0,0,-695,-3554,-241.8378951840682,0.0
2024-10-21 12:18:00+00:00,AAPL,-650,-1000,300,-374,-1,-100,-600,-105,-63,-1,-650,-2594,-219.95854852067117,0.0
2024-10-21 12:19:00+00:00,AAPL,250,1654,200,-26,0,0,0,100,0,0,250,2178,135.00662618324995,0.0
